HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
0.0,15.0,10.0,-2293.3115867349643,2.2562922349702734e-07
0.0,15.0,10.0,-2246.17580005916,2.2562922349702734e-07
3.24317937101722,15.0,10.0,-2229.764543556002,2.2562922349702734e-07
3.3047406613128034,15.0,10.0,-2223.2405082883165,2.2562922349702734e-07
3.305523642576145,15.0,10.0,-2222.285930172477,2.2562922349702734e-07
3.305994270574661,15.0,10.0,-2221.361563058302,2.2562922349702734e-07
3.3074245791873182,15.0,10.0,-2220.3509127198413,2.2562922349702734e-07
3.3079498951925417,15.0,10.0,-2219.4247742863436,2.2562922349702734e-07
3.3088595945384216,15.0,10.0,-2218.465035957894,2.2562922349702734e-07
3.3090195134312808,15.0,10.0,-2217.575571340855,2.2562922349702734e-07
3.3094083824322755,15.0,10.0,-2216.6667203180027,2.2562922349702734e-07
3.309246010360812,15.0,10.0,-2215.8099358748614,2.2562922349702734e-07
3.3092380131953294,15.0,10.0,-2214.940575322016,2.2562922349702734e-07
3.308835963541606,15.0,10.0,-2214.1088656170714,2.2562922349702734e-07
3.308541506959648,15.0,10.0,-2213.268848327756,2.2562922349702734e-07
3.307968215105075,15.0,10.0,-2212.455914015686,2.2562922349702734e-07
3.3074712184126156,15.0,10.0,-2211.6375255673543,2.2562922349702734e-07
3.306777740642019,15.0,10.0,-2210.838664979781,2.2562922349702734e-07
3.2282758344380116,15.0,10.0,-2217.1667145198617,2.2562922349702734e-07
3.384686372564181,15.0,10.0,-2201.984916899421,2.2562922349702734e-07
0.0,15.0,10.0,-2250.8788665431284,2.2562922349702734e-07
0.0,15.0,10.0,-2277.1232288816595,2.2562922349702734e-07
0.0,15.0,10.0,-2230.380044407896,2.2562922349702734e-07
3.2510126252185163,15.0,11.0,-2023.3266332827538,2.2562922349702734e-07
3.365022842859867,15.0,11.0,-2011.6691712903366,2.2562922349702734e-07
3.2828686688907966,15.0,11.0,-2017.982812381793,2.2562922349702734e-07
0.0,15.0,11.0,-2028.330517412305,2.2562922349702734e-07
